date,city,region_x,country,avg_temp_c,avg_humidity,condition_text,condition_icon,uv,sunrise,sunset,day_of_month,month_of_year,year,day_of_week,year_and_week,sunrise_time,sunset_time,daylight_int,day_condition,daylight_time,weekly_avg_uv,alpha-3,region_y
2024-04-16,Lisbon,Lisboa,Portugal,16.9,71.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,6.0,06:58 AM,08:15 PM,16.0,april    ,2024.0,tuesday  ,16.0,06:58:00,20:15:00,-13:17:00,2,2024-04-18 13:17:00,5.0,PRT,Europe
2023-04-27,Izmir,Izmir,Turkey,13.9,77.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,4.0,06:20 AM,07:59 PM,27.0,april    ,2023.0,thursday ,17.0,06:20:00,19:59:00,-13:39:00,0,2024-04-18 13:39:00,5.0,TUR,Asia
2023-04-28,Izmir,Izmir,Turkey,13.0,55.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,4.0,06:19 AM,08:00 PM,28.0,april    ,2023.0,friday   ,17.0,06:19:00,20:00:00,-13:41:00,2,2024-04-18 13:41:00,5.0,TUR,Asia
2023-04-29,Izmir,Izmir,Turkey,13.3,51.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.0,06:17 AM,08:01 PM,29.0,april    ,2023.0,saturday ,17.0,06:17:00,20:01:00,-13:44:00,2,2024-04-18 13:44:00,5.0,TUR,Asia
2023-04-30,Izmir,Izmir,Turkey,15.0,53.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,6.0,06:16 AM,08:02 PM,30.0,april    ,2023.0,sunday   ,17.0,06:16:00,20:02:00,-13:46:00,1,2024-04-18 13:46:00,5.0,TUR,Asia
2023-04-26,Berlin,Berlin,Germany,6.4,63.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,3.0,05:46 AM,08:24 PM,26.0,april    ,2023.0,wednesday,17.0,05:46:00,20:24:00,-14:38:00,0,2024-04-18 14:38:00,5.0,DEU,Europe
2023-04-25,Berlin,Berlin,Germany,7.8,65.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,3.0,05:48 AM,08:22 PM,25.0,april    ,2023.0,tuesday  ,17.0,05:48:00,20:22:00,-14:34:00,0,2024-04-18 14:34:00,5.0,DEU,Europe
2023-04-24,Berlin,Berlin,Germany,12.5,75.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,4.0,05:50 AM,08:20 PM,24.0,april    ,2023.0,monday   ,17.0,05:50:00,20:20:00,-14:30:00,0,2024-04-18 14:30:00,5.0,DEU,Europe
2023-04-23,Berlin,Berlin,Germany,12.7,79.0,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,4.0,05:52 AM,08:18 PM,23.0,april    ,2023.0,sunday   ,16.0,05:52:00,20:18:00,-14:26:00,0,2024-04-18 14:26:00,5.0,DEU,Europe
2023-04-22,Berlin,Berlin,Germany,13.9,56.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,6.0,05:54 AM,08:17 PM,22.0,april    ,2023.0,saturday ,16.0,05:54:00,20:17:00,-14:23:00,1,2024-04-18 14:23:00,5.0,DEU,Europe
2023-04-21,Berlin,Berlin,Germany,13.2,62.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.0,05:57 AM,08:15 PM,21.0,april    ,2023.0,friday   ,16.0,05:57:00,20:15:00,-14:18:00,2,2024-04-18 14:18:00,5.0,DEU,Europe
2023-04-20,Berlin,Berlin,Germany,8.5,75.0,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,3.0,05:59 AM,08:13 PM,20.0,april    ,2023.0,thursday ,16.0,05:59:00,20:13:00,-14:14:00,0,2024-04-18 14:14:00,5.0,DEU,Europe
2023-04-19,Berlin,Berlin,Germany,5.1,89.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,2.0,06:01 AM,08:11 PM,19.0,april    ,2023.0,wednesday,16.0,06:01:00,20:11:00,-14:10:00,0,2024-04-18 14:10:00,5.0,DEU,Europe
2023-04-18,Berlin,Berlin,Germany,7.6,87.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,3.0,06:03 AM,08:10 PM,18.0,april    ,2023.0,tuesday  ,16.0,06:03:00,20:10:00,-14:07:00,0,2024-04-18 14:07:00,5.0,DEU,Europe
2023-04-17,Berlin,Berlin,Germany,8.2,75.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.0,06:05 AM,08:08 PM,17.0,april    ,2023.0,monday   ,16.0,06:05:00,20:08:00,-14:03:00,2,2024-04-18 14:03:00,5.0,DEU,Europe
2024-04-14,Lisbon,Lisboa,Portugal,20.8,63.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,6.0,07:01 AM,08:13 PM,14.0,april    ,2024.0,sunday   ,15.0,07:01:00,20:13:00,-13:12:00,2,2024-04-18 13:12:00,5.0,PRT,Europe
2023-04-30,Berlin,Berlin,Germany,9.9,59.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,5.0,05:38 AM,08:30 PM,30.0,april    ,2023.0,sunday   ,17.0,05:38:00,20:30:00,-14:52:00,1,2024-04-18 14:52:00,5.0,DEU,Europe
2023-04-29,Berlin,Berlin,Germany,10.6,90.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,3.0,05:40 AM,08:29 PM,29.0,april    ,2023.0,saturday ,17.0,05:40:00,20:29:00,-14:49:00,0,2024-04-18 14:49:00,5.0,DEU,Europe
2023-04-28,Berlin,Berlin,Germany,8.9,76.0,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,3.0,05:42 AM,08:27 PM,28.0,april    ,2023.0,friday   ,17.0,05:42:00,20:27:00,-14:45:00,3,2024-04-18 14:45:00,5.0,DEU,Europe
2023-04-27,Berlin,Berlin,Germany,7.5,61.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,3.0,05:44 AM,08:25 PM,27.0,april    ,2023.0,thursday ,17.0,05:44:00,20:25:00,-14:41:00,0,2024-04-18 14:41:00,5.0,DEU,Europe
2023-04-26,Izmir,Izmir,Turkey,16.6,70.0,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,5.0,06:21 AM,07:58 PM,26.0,april    ,2023.0,wednesday,17.0,06:21:00,19:58:00,-13:37:00,3,2024-04-18 13:37:00,5.0,TUR,Asia
2023-04-25,Izmir,Izmir,Turkey,17.0,58.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,5.0,06:22 AM,07:57 PM,25.0,april    ,2023.0,tuesday  ,17.0,06:22:00,19:57:00,-13:35:00,2,2024-04-18 13:35:00,5.0,TUR,Asia
2023-04-24,Izmir,Izmir,Turkey,16.4,56.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,6.0,06:24 AM,07:56 PM,24.0,april    ,2023.0,monday   ,17.0,06:24:00,19:56:00,-13:32:00,1,2024-04-18 13:32:00,5.0,TUR,Asia
2023-04-23,Izmir,Izmir,Turkey,16.7,63.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,5.0,06:25 AM,07:55 PM,23.0,april    ,2023.0,sunday   ,16.0,06:25:00,19:55:00,-13:30:00,2,2024-04-18 13:30:00,5.0,TUR,Asia
2024-04-03,Berlin,Berlin,Germany,7.4,67.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,3.0,06:35 AM,07:45 PM,3.0,april    ,2024.0,wednesday,14.0,06:35:00,19:45:00,-13:10:00,0,2024-04-18 13:10:00,5.0,DEU,Europe
2024-04-04,Berlin,Berlin,Germany,10.6,85.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,3.0,06:33 AM,07:47 PM,4.0,april    ,2024.0,thursday ,14.0,06:33:00,19:47:00,-13:14:00,0,2024-04-18 13:14:00,5.0,DEU,Europe
2024-04-05,Berlin,Berlin,Germany,13.2,77.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,4.0,06:30 AM,07:49 PM,5.0,april    ,2024.0,friday   ,14.0,06:30:00,19:49:00,-13:19:00,0,2024-04-18 13:19:00,5.0,DEU,Europe
2024-04-06,Berlin,Berlin,Germany,16.2,70.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,5.0,06:28 AM,07:50 PM,6.0,april    ,2024.0,saturday ,14.0,06:28:00,19:50:00,-13:22:00,2,2024-04-18 13:22:00,5.0,DEU,Europe
2024-04-07,Berlin,Berlin,Germany,18.3,63.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,5.0,06:26 AM,07:52 PM,7.0,april    ,2024.0,sunday   ,14.0,06:26:00,19:52:00,-13:26:00,2,2024-04-18 13:26:00,5.0,DEU,Europe
2024-04-08,Berlin,Berlin,Germany,20.5,63.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,6.0,06:23 AM,07:54 PM,8.0,april    ,2024.0,monday   ,15.0,06:23:00,19:54:00,-13:31:00,2,2024-04-18 13:31:00,5.0,DEU,Europe
2024-04-09,Berlin,Berlin,Germany,17.8,63.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,6.0,06:21 AM,07:56 PM,9.0,april    ,2024.0,tuesday  ,15.0,06:21:00,19:56:00,-13:35:00,0,2024-04-18 13:35:00,5.0,DEU,Europe
2024-04-10,Berlin,Berlin,Germany,11.2,61.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,3.0,06:19 AM,07:57 PM,10.0,april    ,2024.0,wednesday,15.0,06:19:00,19:57:00,-13:38:00,0,2024-04-18 13:38:00,5.0,DEU,Europe
2024-04-11,Berlin,Berlin,Germany,12.7,60.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,4.0,06:17 AM,07:59 PM,11.0,april    ,2024.0,thursday ,15.0,06:17:00,19:59:00,-13:42:00,2,2024-04-18 13:42:00,5.0,DEU,Europe
2024-04-02,Berlin,Berlin,Germany,10.0,69.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,3.0,06:37 AM,07:43 PM,2.0,april    ,2024.0,tuesday  ,14.0,06:37:00,19:43:00,-13:06:00,0,2024-04-18 13:06:00,5.0,DEU,Europe
